127.0.0.1 - - [16/May/2021:22:44:19 +0900] "GET / HTTP/1.1" 200 11355
0:0:0:0:0:0:0:1 - - [16/May/2021:22:44:20 +0900] "GET /TestWeb/include/header.jsp HTTP/1.1" 200 2433
0:0:0:0:0:0:0:1 - - [16/May/2021:22:44:20 +0900] "GET /TestWeb/include/images/headerback.png HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [16/May/2021:22:44:20 +0900] "GET /TestWeb/include/css/custom.css HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [16/May/2021:22:44:23 +0900] "GET /TestWeb/user/login.jsp HTTP/1.1" 200 3329
0:0:0:0:0:0:0:1 - - [16/May/2021:22:44:23 +0900] "GET /TestWeb/user/join.jsp HTTP/1.1" 200 4922
0:0:0:0:0:0:0:1 - - [16/May/2021:22:44:23 +0900] "GET /TestWeb/user/css/custom.css HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [16/May/2021:22:44:23 +0900] "GET /TestWeb/user/js/bootstrap.js HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [16/May/2021:22:44:23 +0900] "GET /TestWeb/user/images/headerback.png HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [16/May/2021:22:44:24 +0900] "GET /TestWeb/user/mypage.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/May/2021:22:44:24 +0900] "GET /TestWeb/user/login.jsp HTTP/1.1" 200 3329
0:0:0:0:0:0:0:1 - - [16/May/2021:22:44:24 +0900] "GET /TestWeb/user/css/custom.css HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [16/May/2021:22:44:24 +0900] "GET /TestWeb/user/js/bootstrap.js HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [16/May/2021:22:44:24 +0900] "GET /TestWeb/user/js/bootstrap.js HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [16/May/2021:22:44:24 +0900] "GET /TestWeb/user/images/headerback.png HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [16/May/2021:22:44:25 +0900] "GET /TestWeb/user/join.jsp HTTP/1.1" 200 4922
0:0:0:0:0:0:0:1 - - [16/May/2021:22:44:25 +0900] "GET /TestWeb/user/css/custom.css HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [16/May/2021:22:44:25 +0900] "GET /TestWeb/user/js/bootstrap.js HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [16/May/2021:22:44:25 +0900] "GET /TestWeb/user/images/headerback.png HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [16/May/2021:22:44:25 +0900] "GET /TestWeb/user/js/bootstrap.js HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [16/May/2021:22:44:26 +0900] "GET /TestWeb/user/login.jsp HTTP/1.1" 200 3329
0:0:0:0:0:0:0:1 - - [16/May/2021:22:44:26 +0900] "GET /TestWeb/user/css/custom.css HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [16/May/2021:22:44:26 +0900] "GET /TestWeb/user/js/bootstrap.js HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [16/May/2021:22:44:26 +0900] "GET /TestWeb/user/images/headerback.png HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [16/May/2021:22:44:26 +0900] "GET /TestWeb/user/js/bootstrap.js HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [16/May/2021:23:21:11 +0900] "GET /TestWeb/include/header.jsp HTTP/1.1" 200 2433
0:0:0:0:0:0:0:1 - - [16/May/2021:23:21:11 +0900] "GET /TestWeb/include/css/custom.css HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [16/May/2021:23:21:11 +0900] "GET /TestWeb/include/images/headerback.png HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [16/May/2021:23:26:11 +0900] "GET /TestWeb/include/header.jsp HTTP/1.1" 200 2585
0:0:0:0:0:0:0:1 - - [16/May/2021:23:26:11 +0900] "GET /TestWeb/include/css/custom.css HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [16/May/2021:23:26:11 +0900] "GET /TestWeb/include/img/headerback.png HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [16/May/2021:23:26:11 +0900] "GET /TestWeb/include/images/headerback.png HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [16/May/2021:23:26:57 +0900] "GET /TestWeb/include/header.jsp HTTP/1.1" 200 2581
0:0:0:0:0:0:0:1 - - [16/May/2021:23:26:57 +0900] "GET /TestWeb/include/css/custom.css HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [16/May/2021:23:26:57 +0900] "GET /TestWeb/include/images/headerback.png HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [16/May/2021:23:26:57 +0900] "GET /TestWeb/include/headerback.png HTTP/1.1" 200 2113
0:0:0:0:0:0:0:1 - - [16/May/2021:23:27:42 +0900] "GET /TestWeb/include/header.jsp HTTP/1.1" 200 2446
0:0:0:0:0:0:0:1 - - [16/May/2021:23:27:42 +0900] "GET /TestWeb/include/css/custom.css HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [16/May/2021:23:27:42 +0900] "GET /TestWeb/include/images/headerback.png HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [16/May/2021:23:27:54 +0900] "GET /TestWeb/user/login.jsp HTTP/1.1" 200 3342
0:0:0:0:0:0:0:1 - - [16/May/2021:23:27:54 +0900] "GET /TestWeb/user/css/custom.css HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [16/May/2021:23:27:54 +0900] "GET /TestWeb/user/js/bootstrap.js HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [16/May/2021:23:27:54 +0900] "GET /TestWeb/user/images/headerback.png HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [16/May/2021:23:27:56 +0900] "GET /TestWeb/user/js/bootstrap.js HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [16/May/2021:23:28:00 +0900] "GET /TestWeb/user/join.jsp HTTP/1.1" 200 4935
0:0:0:0:0:0:0:1 - - [16/May/2021:23:28:00 +0900] "GET /TestWeb/user/css/custom.css HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [16/May/2021:23:28:00 +0900] "GET /TestWeb/user/js/bootstrap.js HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [16/May/2021:23:28:00 +0900] "GET /TestWeb/user/js/bootstrap.js HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [16/May/2021:23:28:00 +0900] "GET /TestWeb/user/images/headerback.png HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [16/May/2021:23:32:30 +0900] "GET /TestWeb/user/join.jsp HTTP/1.1" 200 4935
