127.0.0.1 - - [12/Jun/2021:19:17:51 +0900] "GET / HTTP/1.1" 200 11355
0:0:0:0:0:0:0:1 - - [12/Jun/2021:19:17:51 +0900] "GET /MyWeb/board/board_content.jsp HTTP/1.1" 200 4396
0:0:0:0:0:0:0:1 - - [12/Jun/2021:19:17:51 +0900] "GET /MyWeb/css/bootstrap.css HTTP/1.1" 200 146010
0:0:0:0:0:0:0:1 - - [12/Jun/2021:19:17:51 +0900] "GET /MyWeb/css/business-casual.css HTTP/1.1" 200 3309
0:0:0:0:0:0:0:1 - - [12/Jun/2021:19:17:51 +0900] "GET /MyWeb/board/js/jquery.js HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [12/Jun/2021:19:17:51 +0900] "GET /MyWeb/board/js/bootstrap.min.js HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [12/Jun/2021:19:17:51 +0900] "GET /MyWeb/board/js/bootstrap.min.js HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [12/Jun/2021:19:17:51 +0900] "GET /MyWeb/img/bg.jpg HTTP/1.1" 200 152880
0:0:0:0:0:0:0:1 - - [12/Jun/2021:19:18:00 +0900] "GET /MyWeb/board/list.board HTTP/1.1" 200 5305
0:0:0:0:0:0:0:1 - - [12/Jun/2021:19:18:00 +0900] "GET /MyWeb/board/js/jquery.js HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [12/Jun/2021:19:18:00 +0900] "GET /MyWeb/board/js/bootstrap.min.js HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [12/Jun/2021:19:18:12 +0900] "GET /MyWeb/board/list.board HTTP/1.1" 200 5305
0:0:0:0:0:0:0:1 - - [12/Jun/2021:19:18:12 +0900] "GET /MyWeb/board/js/jquery.js HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [12/Jun/2021:19:18:12 +0900] "GET /MyWeb/board/js/bootstrap.min.js HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [12/Jun/2021:19:18:13 +0900] "GET /MyWeb/board/write.board HTTP/1.1" 200 93
0:0:0:0:0:0:0:1 - - [12/Jun/2021:19:18:15 +0900] "GET /MyWeb/board/list.board HTTP/1.1" 200 5305
0:0:0:0:0:0:0:1 - - [12/Jun/2021:19:18:15 +0900] "GET /MyWeb/board/js/jquery.js HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [12/Jun/2021:19:18:15 +0900] "GET /MyWeb/board/js/bootstrap.min.js HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [12/Jun/2021:19:56:25 +0900] "GET /MyWeb/board/board_content.jsp HTTP/1.1" 200 4396
0:0:0:0:0:0:0:1 - - [12/Jun/2021:19:56:25 +0900] "GET /MyWeb/board/js/jquery.js HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [12/Jun/2021:19:56:25 +0900] "GET /MyWeb/board/js/bootstrap.min.js HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [12/Jun/2021:19:56:27 +0900] "GET /MyWeb/board/list.board HTTP/1.1" 200 5305
0:0:0:0:0:0:0:1 - - [12/Jun/2021:19:56:27 +0900] "GET /MyWeb/board/js/jquery.js HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [12/Jun/2021:19:56:27 +0900] "GET /MyWeb/board/js/bootstrap.min.js HTTP/1.1" 404 850
